LandAverageTemperature,LandMaxTemperature,LandMinTemperature,LandAndOceanAverageTemperature,Year,Month
37.4612,57.83108162650602,36.938471686746986,59.382618373493976,1750,1
37.5494,57.83108162650602,36.938471686746986,59.382618373493976,1750,2
42.1268,57.83108162650602,36.938471686746986,59.382618373493976,1750,3
47.282,57.83108162650602,36.938471686746986,59.382618373493976,1750,4
52.8314,57.83108162650602,36.938471686746986,59.382618373493976,1750,5
55.2866,57.83108162650602,36.938471686746986,59.382618373493976,1750,6
60.5624,57.83108162650602,36.938471686746986,59.382618373493976,1750,7
58.55,57.83108162650602,36.938471686746986,59.382618373493976,1750,8
52.5434,57.83108162650602,36.938471686746986,59.382618373493976,1750,9
43.4606,57.83108162650602,36.938471686746986,59.382618373493976,1750,10
47.07451603773585,57.83108162650602,36.938471686746986,59.382618373493976,1750,11
36.989599999999996,57.83108162650602,36.938471686746986,59.382618373493976,1750,12
36.491,57.83108162650602,36.938471686746986,59.382618373493976,1751,1
33.7334,57.83108162650602,36.938471686746986,59.382618373493976,1751,2
42.44,57.83108162650602,36.938471686746986,59.382618373493976,1751,3
45.806,57.83108162650602,36.938471686746986,59.382618373493976,1751,4
47.07451603773585,57.83108162650602,36.938471686746986,59.382618373493976,1751,5
56.8886,57.83108162650602,36.938471686746986,59.382618373493976,1751,6
47.07451603773585,57.83108162650602,36.938471686746986,59.382618373493976,1751,7
57.929,57.83108162650602,36.938471686746986,59.382618373493976,1751,8
51.2114,57.83108162650602,36.938471686746986,59.382618373493976,1751,9
47.07451603773585,57.83108162650602,36.938471686746986,59.382618373493976,1751,10
47.07451603773585,57.83108162650602,36.938471686746986,59.382618373493976,1751,11
47.07451603773585,57.83108162650602,36.938471686746986,59.382618373493976,1751,12
32.626400000000004,57.83108162650602,36.938471686746986,59.382618373493976,1752,1
47.07451603773585,57.83108162650602,36.938471686746986,59.382618373493976,1752,2
42.4508,57.83108162650602,36.938471686746986,59.382618373493976,1752,3
46.876999999999995,57.83108162650602,36.938471686746986,59.382618373493976,1752,4
47.07451603773585,57.83108162650602,36.938471686746986,59.382618373493976,1752,5
47.07451603773585,57.83108162650602,36.938471686746986,59.382618373493976,1752,6
47.07451603773585,57.83108162650602,36.938471686746986,59.382618373493976,1752,7
47.07451603773585,57.83108162650602,36.938471686746986,59.382618373493976,1752,8
47.07451603773585,57.83108162650602,36.938471686746986,59.382618373493976,1752,9
46.1102,57.83108162650602,36.938471686746986,59.382618373493976,1752,10
45.203,57.83108162650602,36.938471686746986,59.382618373493976,1752,11
41.1548,57.83108162650602,36.938471686746986,59.382618373493976,1752,12
35.6702,57.83108162650602,36.938471686746986,59.382618373493976,1753,1
33.287,57.83108162650602,36.938471686746986,59.382618373493976,1753,2
41.7632,57.83108162650602,36.938471686746986,59.382618373493976,1753,3
46.8896,57.83108162650602,36.938471686746986,59.382618373493976,1753,4
53.934799999999996,57.83108162650602,36.938471686746986,59.382618373493976,1753,5
58.253,57.83108162650602,36.938471686746986,59.382618373493976,1753,6
59.1656,57.83108162650602,36.938471686746986,59.382618373493976,1753,7
57.4664,57.83108162650602,36.938471686746986,59.382618373493976,1753,8
55.9796,57.83108162650602,36.938471686746986,59.382618373493976,1753,9
48.1316,57.83108162650602,36.938471686746986,59.382618373493976,1753,10
41.635400000000004,57.83108162650602,36.938471686746986,59.382618373493976,1753,11
33.0062,57.83108162650602,36.938471686746986,59.382618373493976,1753,12
34.8332,57.83108162650602,36.938471686746986,59.382618373493976,1754,1
29.7518,57.83108162650602,36.938471686746986,59.382618373493976,1754,2
38.6186,57.83108162650602,36.938471686746986,59.382618373493976,1754,3
52.897999999999996,57.83108162650602,36.938471686746986,59.382618373493976,1754,4
53.4848,57.83108162650602,36.938471686746986,59.382618373493976,1754,5
57.898399999999995,57.83108162650602,36.938471686746986,59.382618373493976,1754,6
58.425799999999995,57.83108162650602,36.938471686746986,59.382618373493976,1754,7
56.400800000000004,57.83108162650602,36.938471686746986,59.382618373493976,1754,8
52.0322,57.83108162650602,36.938471686746986,59.382618373493976,1754,9
49.247600000000006,57.83108162650602,36.938471686746986,59.382618373493976,1754,10
43.0898,57.83108162650602,36.938471686746986,59.382618373493976,1754,11
40.2566,57.83108162650602,36.938471686746986,59.382618373493976,1754,12
33.9206,57.83108162650602,36.938471686746986,59.382618373493976,1755,1
31.8056,57.83108162650602,36.938471686746986,59.382618373493976,1755,2
38.4926,57.83108162650602,36.938471686746986,59.382618373493976,1755,3
48.6734,57.83108162650602,36.938471686746986,59.382618373493976,1755,4
55.1858,57.83108162650602,36.938471686746986,59.382618373493976,1755,5
59.684,57.83108162650602,36.938471686746986,59.382618373493976,1755,6
57.9146,57.83108162650602,36.938471686746986,59.382618373493976,1755,7
56.327,57.83108162650602,36.938471686746986,59.382618373493976,1755,8
53.1914,57.83108162650602,36.938471686746986,59.382618373493976,1755,9
49.946,57.83108162650602,36.938471686746986,59.382618373493976,1755,10
42.7244,57.83108162650602,36.938471686746986,59.382618373493976,1755,11
36.6152,57.83108162650602,36.938471686746986,59.382618373493976,1755,12
38.9966,57.83108162650602,36.938471686746986,59.382618373493976,1756,1
42.1988,57.83108162650602,36.938471686746986,59.382618373493976,1756,2
39.5456,57.83108162650602,36.938471686746986,59.382618373493976,1756,3
50.0756,57.83108162650602,36.938471686746986,59.382618373493976,1756,4
57.4952,57.83108162650602,36.938471686746986,59.382618373493976,1756,5
58.1846,57.83108162650602,36.938471686746986,59.382618373493976,1756,6
57.0308,57.83108162650602,36.938471686746986,59.382618373493976,1756,7
56.1866,57.83108162650602,36.938471686746986,59.382618373493976,1756,8
54.7736,57.83108162650602,36.938471686746986,59.382618373493976,1756,9
45.1616,57.83108162650602,36.938471686746986,59.382618373493976,1756,10
39.605,57.83108162650602,36.938471686746986,59.382618373493976,1756,11
35.897,57.83108162650602,36.938471686746986,59.382618373493976,1756,12
31.5032,57.83108162650602,36.938471686746986,59.382618373493976,1757,1
38.6672,57.83108162650602,36.938471686746986,59.382618373493976,1757,2
40.1522,57.83108162650602,36.938471686746986,59.382618373493976,1757,3
46.8428,57.83108162650602,36.938471686746986,59.382618373493976,1757,4
55.4702,57.83108162650602,36.938471686746986,59.382618373493976,1757,5
62.807,57.83108162650602,36.938471686746986,59.382618373493976,1757,6
63.698,57.83108162650602,36.938471686746986,59.382618373493976,1757,7
64.238,57.83108162650602,36.938471686746986,59.382618373493976,1757,8
58.7336,57.83108162650602,36.938471686746986,59.382618373493976,1757,9
43.66759999999999,57.83108162650602,36.938471686746986,59.382618373493976,1757,10
39.2576,57.83108162650602,36.938471686746986,59.382618373493976,1757,11
33.8378,57.83108162650602,36.938471686746986,59.382618373493976,1757,12
29.2946,57.83108162650602,36.938471686746986,59.382618373493976,1758,1
33.4508,57.83108162650602,36.938471686746986,59.382618373493976,1758,2
38.777,57.83108162650602,36.938471686746986,59.382618373493976,1758,3
44.977999999999994,57.83108162650602,36.938471686746986,59.382618373493976,1758,4
49.487,57.83108162650602,36.938471686746986,59.382618373493976,1758,5
55.6502,57.83108162650602,36.938471686746986,59.382618373493976,1758,6
56.9246,57.83108162650602,36.938471686746986,59.382618373493976,1758,7
53.272400000000005,57.83108162650602,36.938471686746986,59.382618373493976,1758,8
50.050399999999996,57.83108162650602,36.938471686746986,59.382618373493976,1758,9
35.4092,57.83108162650602,36.938471686746986,59.382618373493976,1758,10
44.519,57.83108162650602,36.938471686746986,59.382618373493976,1758,11
37.8482,57.83108162650602,36.938471686746986,59.382618373493976,1758,12
41.0252,57.83108162650602,36.938471686746986,59.382618373493976,1759,1
39.3476,57.83108162650602,36.938471686746986,59.382618373493976,1759,2
40.135999999999996,57.83108162650602,36.938471686746986,59.382618373493976,1759,3
42.7694,57.83108162650602,36.938471686746986,59.382618373493976,1759,4
50.340199999999996,57.83108162650602,36.938471686746986,59.382618373493976,1759,5
56.321600000000004,57.83108162650602,36.938471686746986,59.382618373493976,1759,6
54.546800000000005,57.83108162650602,36.938471686746986,59.382618373493976,1759,7
58.2566,57.83108162650602,36.938471686746986,59.382618373493976,1759,8
